long,lat,date,apn,address,city,zip,units
-118.35595,34.05934,2014-04-03T00:00:00Z,,848  S CURSON   CA 90036,Los Angeles,90036,2
-118.46071,34.04702,2016-05-03T00:00:00Z,,1261  S STONER  AVE,Los Angeles,,6
-118.43805,34.05625,2022-10-03T00:00:00Z,,10770 W WILKINS AVE,Los Angeles,90024,2
-118.41757,34.05163,2023-05-24T00:00:00Z,,10341  W BELLWOOD  AVE,Los Angeles,90064,13
-118.18429,34.1206,2014-02-03T00:00:00Z,,6515 1/2 N FIGUEROA ST,Los Angeles,90042,2
-118.4481,34.04158,2015-08-11T00:00:00Z,,1828  S BUTLER  AVE,Los Angeles,90025,8
-118.287302,33.981817,2017-03-06T00:00:00Z,,802  W GAGE  AVE,Los Angeles,90044,2
-118.37639,34.17157,2022-12-06T00:00:00Z,,5557 N ELMER AVE,Los Angeles,91601,2
-118.33073,34.04623,2023-07-20T00:00:00Z,,1401  E 51ST  ST,Los Angeles,90011,1
-118.28178,34.05033,2005-03-01T00:00:00Z,,1110 E LAKE,Los Angeles,,14
-118.27614,33.79796,2006-01-01T00:00:00Z,,1025 W DON,Los Angeles,,2
-118.264,34.00727,2016-08-01T00:00:00Z,,662  E 42ND  ST,Los Angeles,90011,2
-118.29822,34.063708,2016-11-29T00:00:00Z,,3505  W 6TH  ST,Los Angeles,90020,9
-118.285452,33.983379,2017-02-08T00:00:00Z,,667  W 62ND  ST,Los Angeles,90044,2
-118.36569,34.07013,2016-05-04T00:00:00Z,,8112  W 4TH  ST,Los Angeles,,2
-118.29496,34.05352,2022-12-19T00:00:00Z,,975 S CATALINA ST,Los Angeles,90006,4
-118.25368,34.0031,2020-04-09T00:00:00Z,5107002010,1223  E 45TH  ST,Los Angeles,90011,2
-118.35807,34.08035,2013-12-03T00:00:00Z,,500 N GENESEE AVE,Los Angeles,90036,4
-118.27863,34.07338,2015-01-05T00:00:00Z,,2827  W HYANS  ST,Los Angeles,90026,2
-118.30694,33.830369,2018-09-17T00:00:00Z,7346003025,1611  W 218TH  ST,Los Angeles,90501,1
-118.45587,34.18376,2022-06-27T00:00:00Z,2241009022,14811 W ERWIN ST,Los Angeles,91411,3
-118.283488,34.042379,2006-04-01T00:00:00Z,,1326 W 17TH,Los Angeles,,4
-118.48009,33.99513,2014-10-14T00:00:00Z,,15  E ROSE  AVE,Los Angeles,90291,24
-118.2857,33.9523,2016-01-12T00:00:00Z,,628  W 92ND  ST,Los Angeles,90044,1
-118.468652,33.982604,2017-10-24T00:00:00Z,4226018020,30  E 25TH  AVE,Los Angeles,90291,3
-118.270477,34.020596,2018-02-05T00:00:00Z,5120001007,120  E 31ST  ST,Los Angeles,90011,2
-118.474011,33.998442,2018-11-28T00:00:00Z,4240010010,315  S 6TH  AVE,Los Angeles,90291,4
-118.2598,34.02654,2019-05-22T00:00:00Z,5127003020,617  E 21ST  ST,Los Angeles,90011,2
-118.31045,34.05926,2006-10-01T00:00:00Z,,709 S MANHATTAN,Los Angeles,,4
-118.36296,34.07848,2014-09-25T00:00:00Z,,407 N HAYWORTH AVE,Los Angeles,90048,6
-118.46944,33.98797,2019-01-07T00:00:00Z,4238021008,310  E GRAND  BLVD,Los Angeles,90291,2
-118.33118,34.00176,2022-07-25T00:00:00Z,,4611  S CRENSHAW  BLVD,Los Angeles,90043,1
-118.2566,33.9587,2023-04-12T00:00:00Z,,8717  S CENTRAL  AVE,Los Angeles,90002,4
-118.288509,33.964379,2018-09-26T00:00:00Z,6032006021,837  W 82ND  ST,Los Angeles,90044,3
-118.277772,34.023666,2019-01-14T00:00:00Z,5123020006,510  W 31ST  ST,Los Angeles,90007,4
-118.284513,33.960976,2019-03-20T00:00:00Z,6032016035,614  W 85TH  ST,Los Angeles,90044,3
-118.28396,33.96228,2020-06-10T00:00:00Z,6032020024,535  W 84TH  ST,Los Angeles,90044,2
